Binary,Event Type,Event
/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted,notify_register_dispatch,com.apple.airplay.active
/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted,notify_register_dispatch,com.apple.airplay.advertisingDidChange
/System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kcm,notify_post,com.apple.Kerberos.cache.changed
/System/Library/PrivateFrameworks/RemoteManagement.framework/Daemons/remotemanagementd,,??
/System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing,notify_post,com.apple.ProtectedCloudStorage.PendingKeyRoll
/System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing,notify_post,com.apple.ProtectedCloudStorage.test.mobileBackupStateChange.success
/System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd,notify_post,com.apple.syncdefaultsd.daemon.wake
/System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fud,notify_post,com.apple.MobileAccessoryUpdater.auInstallerStaged
/System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fud,notify_post,com.apple.MobileAccessoryUpdater.defaultClient.restartPending
/System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fud,notify_register_check,com.apple.MobileAccessoryUpdater.auSimulateIdleLaunch
/System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fud,notify_post,com.apple.Kerberos.cache.changed
/System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter,notify_post,com.apple.coretelephony.daemon_ready
/System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter,notify_post,com.apple.CoreTelephony.FeatureChanged
/System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter,notify_register_check,com.apple.CoreTelephony.FeatureChanged
/System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter,notify_register_dispatch,com.apple.coregraphics.GUIConsoleSessionChanged
/System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter,notify_register_dispatch,com.apple.springboard.hasBlankedScreen
/System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter,notify_register_dispatch,com.apple.system.batterysavermode
/System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter,notify_register_dispatch,SignificantTimeChangeNotification
